Description,Category
"fuckbook 

it sucks hairy balls",1
"Oversight?  

What a cunt.  You'll never make arbcom with that attitude",1
"""

That doesn't seem plausible to me.  You certainly seemed to get past the """"edit conflicts"""" when you deleted my comments on your Talk page without responding to them.  I wanted to have a civil discussion, but you were making it impossible to do so by not replying to my questions.  If you didn't ignore and then delete valid questions, you might get called a """"jerk"""" less often.""",1
"Wikipedian beauracrats:
When you say some users are 'forgetting the spirit that they are intended to represent' you have hit the nail on the head. It is the spirit of Wikipedia and its vision I admire, but at this time, I see it being strangled by frustrated surfers and like msn prone to corruption.

It is gratifying to know I can feel secure with the thought that my efforts have not been a complete waiste of time, and may think again how best to tackle the problems as I see them. All the best: faedra",0
"Hello, I made constructive edits. I know you think they weren't, but I guess that makes you wrong. It's okay, mistakes happen, but you should back down and make sure they happen less. Okay? Our public transit systems are going down because of leeches like you. Keep on sucking, loathsome prick from hell.",1
"You must be a real loser and mental infant to try to block me when I've obviously improved that page, as a number of editors who have actrually read Hume and have an interest in him, strongly agree. Cheers.",1
"Learn to read 

And stop being a surly prick. Keep the snide comments to yourself.",1
"I have no idea what the hell you are talking about.  I live in Sacramento.  I have NEVER lived in San Diego.  I'm not sure what meds you take, but don't put me into the midst of your battle.  I received a message today from the above and have no idea who it is.  However, I am going to report you for stalking me.  Stay away from me and my page.  I've made NO edits since I was blocked months ago.",1
Personal attacks?! What the hell you talking about? Where? Quote me.,1
"I will remove this pathetic scum myself 

I will remove this pathetic scum myself by disintegration and before that.....hang....drawn....and quartered....",1
"Manga and Anime 

is the Anime very faithful to the manga and if yes, how many chapters does it cover?",0
"You totally suck! 

Hi,

Let me clearyfy something before my exit of this shitwhole!

Dear bishonen ( and I wonder how pretty you really are?) you pretend that you are a resonsible admin? and where is your responsabily? wikipedia is built on its users and the way we are trated and find a place in the community, let me just say that Calton have been a very nasty and not friendly contact in the cyberworld and that if he/she is the raw model I just dont what to be a part of it, and youre protective approch is ununderstandible, what is this, why is it so important to protect this uncivil and totally sociopatic caracter?",1
"Look, blatant anti-romanian remark: anti-romanian remark",0
"Noel

Alright? Cheers for yer comments on Noel Gallagher. I would like to know why you feel its necessary to remove the trivia and controvercy sections. 

I dunno about you, but I like easy to digest stuff like the trivia section, and it is the only way to present a lot of the the interesting facts in there which I would have trouble comfortably fitting into the main article without a) making it too long or b) making said facts appear out of place. 

As for the controversy section, it's hard to expand because often what we have are the quotes - nothing more or less - and I can't really work them into to the main article for the same reasons as with the trivia section. I think it should stay because it gives a flavour of the man, coz, he's famous for saying controvercial things.

What do you think? Got a miricle solution? Any feedback would be great, and maybe also some money.",0
"There is a quote above the tour section of this page, that there has been a dispute of the topic. Would the person(s) who disputed explain the problem?",0
""" Garibaldi Baconfat  """,0
REDIRECT Talk:Angel in Judaism,0
"I did mention something about a philanthropic body doing something similar.  I agree that it is possible but, as I said, unlikely. Sometimes the unlikely happens.",0
"Oi! You! 

Stop vandalising bovine articles! Get a clue. Eat a chappati.",0
DEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEERP ME STUPID LIKE JAC DUUUUH   (Edgar181),1
"Deletion at Memills' talk page was inadvertent 
Because it was similar to the material on my own Talk page, sire, and I had been going back and forth between the two, I mistakenly thought that I was deleting a comment on my own page. Thanks for noticing.",0
"hahahahaha dude go get a real job! how old are u? come on,its geting stupid!!!",1
I reverted the edits you big baby. Seriously do you want me to burp you little baby? Stop taking life so seriously and grow the hell up. I did nothing wrong and yet you threaten a ban without referring to Wikipedia's article on Good Faith Edits.  Stop treating me like shit or I will kill myself you mean spirited person.,1
"How come this guy doesn't seem to think is the shit! He barely won, and he relied on his team mates too! He ain't shit without his homies!",1
Fine! I see you're not gonna work with me here! Screw you then!,0
"You block me? uahahaha go to hell you motherfucker, wikipedia is shit, i wan't make nothing more!",1
"April 2014 (UTC)
 Thanks, but not quite my point. I'm questioning whether it shouldn't provide an automated edit summary in order that page watchers can instantly identify what the change was when there is nothing detectable. Deleted, undeleted, page protection, upping page protection, etc. is obvious. Reviewed (where there is is no change identifiable even in as much that the page history fails to show any activity) is irritating to very active contributors, such as myself, who suddenly receive multiple change notifications where no change is listed and no edit summary is provided. I am simply suggesting that page curator provide a simple summary ('Reviewed' springs to mind!) as do all of the other tools commonly used here.   01:07, 22",0
"Hi there, I'm planning to do some updating of the page in the coming weeks, as most of the information is quite old and we (J Choo Limited) would like to update pictures etc.  As you may have noticed, I've already made a few small changes.  If there's anyone still monitoring this page, please let me know and I'd be happy to discuss.",0
"Fuck off
Will you please stop sending me messages?  Let me be for fucks sake.  Do you honestly have fuck all better to do with your fucking time?  I'm not available for adoption, and even if I was I wouldn't fucking adopt you you piece of shit.  Your grammar is fucking awful and your spelling is even fucking worse.  Just fuck off.  If you send me another fucking message I will fucking create account after fucking account so I can vandalise this piece of fucking shit page you have.  Fuck off.",1
Kiss my fucker shit nuts,1
"It says under admissions requirements that men must have one testicle 

I looked at West Point's website and couldn't find anything confirming this. It needs a source.",0
"Side Projects 

Such a plain list like it is now feels somehow wrong. Some are side projects of Bill, some of Rhys, some of Chris... It should be added for clarity.",0
"(SOSO says: Idiot! follow the rules! if you're a real honest gentleman, then you will respect wikipedia and take down this page,only those who have done great and amazing accomplishments are worthy o having a page. You sir are nothing more than a sad excuse of a human being,'SOSO out')",1
"Sunshine

Quit being such an asshole

Stating the FACTS of what actually appears in the finished film is NOT opinion or original research. 

Are you on crack or just stupid?  

Be advised that an official complaint has now been filed about you with Wikimedia.",1
"Hmmm... after thinking about this, I think you and",0
"As for 1) Croatia declared independence after the first armed conflicts. It is true that the war escalated after the declaration of independence, but it was certainly in existence before Croatia formally declared independence. As for 2) I agree that Yugoslavia could have went on without one or more republics, but the situation on the ground was that four out of six republics declared their independence during the war (events not necessarily linked to the war, but arguably influenced by it) and the Badinter Arbitration Committee said that in November 1991 - January 1992 SFR Yugoslavia dissolved, inter alia, due to Slovenian and Croatian independence votes. As for 3) that means that they did not change when situation before March 1991 and after November 1995 is compared. Of course the borders are the same since 1947 (by demarcation committees, not in 1943) but the first two dates specified are important here. Erdut Agreement and UNSC resolution 1037 define the territory as Croatian, the UN mandate as temporary and define the outcome as transfer to Croatian control. Furthermore expelling forces, civilians or troops leaving a country and UN mandates do not constitute territorial changes and should not be in this field at all. All of these issues are quite comprehensively addressed by the article itself.",0
"the 9/11 paranoia award 

I present you with this award. Thank you for displaying you're idiocy to the world. I really am sad to hear that you have an IQ of 50. Better pack your bags before the marshons come.",1
"Why are you being such a fag? 

There's nothing wrong with editing my own user page; please stop being such a fag.",1
Let my article on retard!!!}:(,1
Dave Wain says so the moderator thinks that anyone can write a patent. Try it. Then another comment like you can't cite patents because the source isn't reputable. Guess he/she must have an ugly daughter.,1
"Headline text 
At the end of the story, Spock discovers that Stempel is one of his mother's ancestors, which ties in nicely, since Mark Lenard also played Spock's father Sarek in episodes of the original Star Trek and Star Trek: The Next Generation, as well as several of the Star Trek movies.Cute, except it hardly makes sense for one of Amanda's ancestors to resemble Sarek.",0
"Guru or life? 

Or a different Melchior?",0
"Oh, I am so sorry - I apologise for trying to clear the air and suggest that we try to get along while editing wikipedia. You might want to grow up a little and try to get on with people, right now you are just making yourself look stupid. I don't require an apology, just some basic manners - however after reading the above comment I am not going to hold my breath waiting. The offer to get on in a friendly way still stands, if you don't think it is important, that is your choice. 119.173.81.176",0
REDIRECT Talk:168th Infantry Regiment (United States),0
"FUCK OFF 

wikipedia is a fucking site......fuck you admins",1
"Please engage in meaningful discussion to resolve debates, as other editors at Mark Ames are doing.  Please do not continue to flout consensus.  If you insist on doing so, the matter will be brought to the attention of the administrators.",0
"Pronunciation of Ceawlin 

Ceawlin is not pronounced 'colin', it's pronounced 'see awe lynn'.  I'm quite sure of this.  I was at school with him.",0
"False Accusations 

There was a comment from this user on User talk:137.240.136.81 saying that the user from the IP address had vandalized User talk:Neptuniandroid. No such deed has been done. Please refrain the personal attacks and threats against this IP address. I have already had such vulgarities removed. Thank You.",0
"anti-Semitic crap

the whole article is an anti-Semitic conspiracy theory cherished by aryan-supremacist rightists!",1
"Fuck you Guoguo12! You have no life and no friends. So go fuck yourself because you are a weird bitch! I will block you soon! alright bitch bye
{{Talkback|Tdawg4701}",1
You moron.  And what suburb are you from.  A place where that silver spoon glistens in the sunlight i guess,1
""" I have changed the title of the section to """"Speculation about the cause of the crash"""".""",0
"position abuse 

you abuse you position and block people like me wo tell the truth. Shame.",0
"Unspecified source for Image:HerbertGursky.jpg

Thanks for uploading Image:HerbertGursky.jpg. I notice the file's description page currently doesn't specify who created the content, so the copyright status is unclear. If you have not created this file yourself, then there needs to be a justification explaining why we have the right to use it on Wikipedia (see copyright tagging below). If you did not create the file yourself, then you need to specify where it was found, i.e., in most cases link to the website where it was taken from, and the terms of use for content from that page.

If the file also doesn't have a copyright tag, then one should be added. If you created/took the picture, audio, or video then the  tag can be used to release it under the GFDL. If you believe the media meets the criteria at Wikipedia:Fair use, use a tag such as  or one of the other tags listed at Wikipedia:Image copyright tags#Fair_use.  See Wikipedia:Image copyright tags for the full list of copyright tags that you can use.

If you have uploaded other files, consider checking that you have specified their source and tagged them, too. You can find a list of files you have uploaded by following [ this link]. Unsourced and untagged images may be deleted one week after they have been tagged, as described on criteria for speedy deletion. If you have any questions please ask them at the Media copyright questions page. Thank you.",0
Eat shit you fucking arse rapping jew fucking arab. I'LL KILL YOU!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1,1
"Allerca cats? 

Should anything be mentioned about the genetically engineered cats of Allerca?",0
"Well, I suggest you spend 30 seconds and using Google. Just because a one source says something we don't throw commonsense out the window.",0
"Look at my edit carefully, I am not denying the genocide. I am merely rewprding it so there is a level of uncertanty. Do you understand where I am standing?  My Talk 20:53, 27 Mar 2005 (UTC)",0
"Well, Smallboy ... why don't you try doing proper research? In stead of circular references to your own Wiki pages based on press releases ,which in turn come from earlier versions of the same Wiki page .. and so on.

You are pompous, self-important oaf  of limited intelligence and no doubt to complete the stereotype, are almost certainly, weak, ineffectual and effeminate in the real world.

Must make you a real hit with the ladies, eh?
 
Later, loser.",1
"Are you deaf or blind? I repeat. It started in late 2009, and collapsed in mid 2010, as supported by cites and polls.",1
"OMG WHAT?

DON'T BLOCK THE IP PLEASE... THIS IS A SHARED COMPUTER DON'T JA KNOW. 
72.187.99.240",0
"992 AD Map of Poland (in center) showing some of Silesia, Wroclaw/Breslau already conquered by Poland). Poland on and off conquered additional people's land surrounding Poland. In 1157 the Holy Roman Empire ended the Polish conquest of Silesia, by installing two Silesian duchies Wroclaw/Breslau and Ratibor (later named Lower Silesia and Upper Silesia. The empire installed Boleslaus and Mieszko as dukes of Silesia, who held both duchies in fief from the empire. Even the Duchy of Poland, the Polish dukes pledged allegiance to the empire and held territory as fief. Only in 1025 did Boleslaw I Chrobry declare himself king and died the same year. His son tried to evade taking the land in lien from the Holy Roman Empire, but after some years, had to submit. Further Polish dukes all submitted to the empire. Then Wenzel II, a king of Bohemia (part of the empire) also became King of Poland.

Silesia, conquered in the 990s by Boleslaw I Chrobry was until 1157 ruled by Polish dukes (who were subject to the Holy Roman Empire). Thus Silesia, conquered in the 990s by Boleslaw I Chrobry was until 1157 'Polish'. Map of Poland in 992 AD (with Wroclaw - Silesia partially conquered) From 1157 Silesian dukes governed Silesia and they were subject to the highest dukes (magnus dux) of Silesia, the Holy Roman Emperors.",0
that will substantiate your claim that the Iraq Liberation Act was a violation of international law,0
I never linked anything to Transformers! And why would the page about Germanic Mythology have the name Wolfgang in it?119.92.93.84,0
I see you have been talking to yourself again. Do not make the mistake of thinking that this will provide you with a defence against wp:sock.It won't.~~,0
"==Borough of Brent ethnicity statistics== 

Thank you for your contribution to London Borough of Brent.  I have reverted the change you made, if nothing else because it was not correct (thr 45% white are not only British and Irish, some are, for example, Polish).",0
"Barnstar
Thank you very much for the Barnstar. It is sincerely appreciated!",0
that can classify termites into specific groupings,0
We can not block you because we are dumb and you are using webanywhere,1
Its only too band that that son of a bitch did not live long enough to hang for his treason. Fortunately some patriots did desecrate his grave. I guess thats the only way the Hungarian people can get their revenge against trators like that pig. 75.34.48.250,1
"Koorong, etc. 

There doesn't seem to be a problem with the apparently COI editor - the username described the edit rather than the user, and he has applied to have it changed. As for Taming the Tiger, I really don't think it's relevant for a publisher's article, and certainly not for a bookstore article - it's obviously an issue regarding the author, and should be restricted to that page. Anselm",0
or can it be done during this period also,0
"Oh no, you're not an annoyance. I was just planning on doing all of the German ships myself. I don't want to be too territorial, but I've been working on this for a very long time (actually, today is 3 years from my first edit to a German BB article), and would really prefer to do it all myself. Would you mind working on articles from other nations please?",0
"I'M PISSED OFF! 

WHY SHOULD I STOP MAKING PERSONAL ATTACKS TO ADMINISTRATORS?! EVERYBODY DELETED MY ARTICLE BUT NOBODY HELPED ME, IN TELLING ME WHAT SHOULD I DO TO MAKE IT PASS THE RULES OF WIKIPEDIA! I ONLY RECEIVED CRITICISM!",1
Fuck off you cunt. I know a LOT more about Flynn than you. Don't take out referenced stuff or ELSE.,1
", 30 May 2008 (UTC)

Brews, he's given citations for the very things that I have been arguing about. Polar coordinates in the inertial frame are the correct and standard way to analyze planetary orbital motion.

The section that I put in yesterday was standard textbook planetary orbital theory. I mentioned Goldstein's.

I can only conclude that most of the editors here are schoolboys who have done the basic circular motion theory and are totally unwilling to examine the general cases of curved path motion such as ellipses and hyperbolae and the role of the radially outward centrifugal force.

I would say that my section was erased yesterday for no other reason than that nobody here could understand it since they have never done planetary orbital theory in advanced applied maths at university.

And in true schoolboy style, anything that they can't understand must go to the trash can.  05:22",0
"Well, that won't take very long now.",0
fuck all wikipedians...(and sinneed)...ah yes i have returned,1
"Thats it 
Actually I shall consider to retire for a long while. If it seems okay to be personally insulted as a “fascist” and “dirty mind” and religious  fanatics to delete complete sections that do not fit their proselytising mission in life. Then that’s me out of here. Thanks for nothing.",0
It's a typo. A salver is a silver dish. -),0
JAYJG HAS ALREADY EATEN HIS TABLET! YOU MUST DO IT NOW OR THEY WILL GET YOU AND TORTURE YOU TO MAKE YOU CONFESS OUR SECRETS}},1
"Oh diddums, did I hit a sore spot? Personal attack, is it? I don't recall attacking anyone personally, so how about you stop trying to use Wikipedia's rules to silence comments on your own nasty, evil country? You don't like me talking about 9/11? Too bad! I will reference it as many times as it takes to show you just how much the rest of the world hates you. Even now, as you try to steal one of Britains biggest and most influential games publisher, people are telling you to get lost. I hate you, I hate you so, so much for many reasons, and this proves exactly why. To hell with your feelings. 92.20.69.172",1
"This article is C-Class for a reason, it's a piece of shit and if you yank cunts dont take advice from the rest of the world it will stay an insignificant piece of shit and profanity does not diffuse accuracy yankie scum94.168.193.75",1
"Which three years did this run?  17:45, Jun 30, 2004 (UTC)",0
Support as per precedent described by OP (invited here by bot),0
"Hey, cunt.  Stop reporting my pages.  Go get a real job, ya troll.",1
Entheta is stupid in his head.,1
"I'm sure you're held to that standard and still here, Tan. *waves hankie tearfully* So long! 86.44.33.121",0
It's tough to beat the Connolley/Raul/Shulz dictatorship. Mr Marx would be proud of his little comrades.,0
"Well what I was trying to say is it isn't just in the policies. We have to be able to step back and see an encyclopedia article when it is all done. Hmm, I wonder if there is a WP:GESTALT? =)",0
"Featured article candidacy process is harrowing in the beginning. As the third one I went through (I had to archive my second) I found it arduous and taxing. Since then, however, they seem like a veritable stroll in the park. A lot of the stress is trying to figure out what is expected from the process vs. what various individuals want to see. It's not quite clear and there is a lot of trial and error involved. It's easier to simply go freakin' crazy and add every last thing you can possibly find, then add some more. Then beg editors who are nice to review the article. Over and over and over. There is a deceptive amount of work involved in getting an FA. James Bevel certainly is a worthy article to get there, though.",0
"I'll tell you what I'm not, and that's a useless, towel-headed sand nigger.  All your kind sicken me.",1
"A question 

How big are your boobs?",0
"Thank you for being such a politically correct, baby prick bastard! 

Please provide me with your address so that I may show up and kick your lame ass. Okay, asshole...",1
"All I Have to say to you, is go fuck yourself. You're a cocksucker with a little power that's massively gone to your head",1
"By all means keep the list in the article, all I suggested was that we shouldn't list potential champions because there are no other titles to win at present.

Think of it like the WCW Triple Crown listng, acknowledge those who made it, but it would just clutter up the article to list those who are one away, when the titles don't exist anymore.

Same idea with the ECW TC.  Give credit to those who got there, but until the titles come back, there can be no other TC winners.

By the way, Anakinjmt, Thanks for backing me up in the U.S. Title debate.

 21:08 19 December 2006 (UTC)",0
"I just wanted to say one thing.... 

Clinton does it, he's a white christian and his victim is jewish, he gets applauded.

Spitzer does it, he's a jew and his victim is a white christian, he cops nothing but criticism.

Some of the old racist nazi muffin ideals still there!211.28.41.32",0
. Are you a sexual predator? RH is donating to a worthy cause. I demand your email address,1
"""::::Stop attacking my people by denying their existence. My """"beef"""" with you is not over wording in the article, it is over your repeated offensive racial slander. I told you several times how offensive your remarks are, yet you do not seem to care one bit.   
""",1
"Dont delete talk page entries fucking asshole. You dont have to make yourself obvious as a criminial on the loose. Are not you supposed to be pimping your mother in L.A. downtown at this time of the night normally?
You just preach to your pimping ass.",1
"Especially you
Fuck you for fucking up wikipedia. You can rot in hell you piece of shit.",1
"Mmm-hmm, tell me another one. All your usernames say the same things about everyone including what you've just written above. This is very easy to check. https://en.wikipedia.org/wiki/Category:Wikipedia_sockpuppets_of_Eleemosynary I look forward to you opening an investigation since it will save me the trouble of figuring out how to do this. Oh p.s. you are probably the biggest dick I've ever met on or off the internet. No kidding. Please shut up like forever.",1
This can also be proven here,0
I am violating wikipedia rules? You denied me my nationality and insulted me on my own talk page because of my sociopolitical values. I have not even discussed them with you; you just saw me userboxes and you attacked me based on that. Thats what I call a violation. I think disciplinary action is more appropriate for harassers like you who are spreading stupidity and hate.,1
"On account of the project deciding to ignore history, I hereby quit. Good bye. Oh, and Tim Vickers is a complete asshole. LOL. Bye.",1
Hi i am a two time entrient to this website. I think the guy who blocked cookiesandboobs is gay. yeah u heard me... the fool is a total ass wipe. He can go fuck himself u litlle bitch u.,1
editors are gay they should all go fuck themselves,1
"ediot 

if i find you on street i will kick ur ass",1
"""FUCK YOU ME ETITIS ♣   Chat wit' me  §  Contributions ♣ 04:12""",1
"republic of mosquito 

FAGGOT! FAGGOT! GET OFF MY INTERNET!",1
kiss my ass you limp dick loser,1
"Also see:  
 http://www.forbes.com/sites/johngoglia/2013/07/12/if-drug-and-alcohol-testing-for-asiana-flight-214-crew-not-required-by-law-why-didnt-ntsb-or-faa-request-voluntary-compliance/
 http://thehill.com/blogs/transportation-report/aviation/310151-ntsb-chief-asiana-pilots-were-not-drug-tested
 http://www.upi.com/Top_News/US/2013/07/09/Asiana-flight-crew-not-tested-for-drugs-or-alcohol/UPI-24951373351400/
 http://www.ibtimes.com/asiana-airlines-flight-214-ntsb-says-pilots-not-tested-drugs-or-alcohol-after-crash-1339295
 http://www.latimes.com/news/opinion/opinion-la/la-ol-asiana-airlines-drug-test-20130709,0,40181.story",0
"Anti-Russian movement in Central Asia 

For one years ago we established a network of a Central Asian youth party that is motivated to act against pig-like Russians. We won´t let your children alive in our countries till the last dirty slavic Russian leave our countries, from Caucasia to south Russia. Your sons and daughters you send to our countries will lose their heads. Kill one Caucasian and Central Asian and we will kill for every single individual exactly 32 Russians. Death to dirty slavic Russians!!! Germans kille you dirty slavic bastards and we will kill you dirty slavic bastards. You are born to serve non-slavics...not the other way round. Sieg, Heil Islam o Gorgon!",1
"This I.P. address (212.219.11.206) is that of the Abingdon and Witney College (http://www.abingdon-witney.ac.uk) (Witney campus), where computer terminals with Internet access are free to use by all students.",0
"William S Saturn is a sockpuppet 

Hey dickweed Saturn, remember me?  You dumb fat bitch",1
"""    04:25, 11 Mar 2005 (UTC)

Full names
I made a mistake in my comment about my edit, however is there any policy about full names ? See George W. Bush 
 05:31, 4 Apr 2005 (UTC)

General style guidelines indicate once you use a person's full name in an article you don't have to use it again for readability.  Of course, there are exceptions (for instance, if you were discussing George W. Bush and George H.W. Bush in the same article it would only make sense to be more specific).   05:42, 4 Apr 2005 (UTC)

the madness never ends.

 Quotes 

Quotes mentioned should be in {{wikiquotes}} not here.  == 14:20, Apr 22, 2005 (UTC)

""""I am not a crook"""" & """"never obstructed justice""""
Text of press conference , extracted version . 

Neither of the above partial and incomplete transcripts contain Nixon's quote, or the question to which he responded.
you can't find it in the official text of http://watergate.info/judiciary/APPI.PDF, or the extrated version, cause it's not there. The House Judiciary Committee which was holding the Watergate hearings, it appears, did feel question's on Nixon's personal finances and taxes returns were not germane to thier proceedings.
Sounds like a conspiracy theory to me.  I'm sure there is a transcript out there that contains both the question asked of Nixon, as well as his response, that the 'plumbers' haven't gotten to yet.   7 July 2005 21:06 (UTC)

From Facts on File 1973, Volume 33, No. 1719 Oct. 7-13, 1973, pg. 854, 
""""The White House refused to confirm or deny an Oct. 3 report in the Providence (R.I.) Journal-Bulletin that President and Mrs. Nixon paid only $792.81 in federal income taxes for 1970 and $878.03 in 1971""""

From Facts on File 1973, Volume 33, No. 1725 Nov. 18-24, 1973, pg. 964, 
""""The President made the declaration in discussing his personal finances.  The President was asked about a press report he paid $792 in federal income tax in 1970 and $878 in 1971 and whether public officials should disclose their personal finances.""""

Still no transcript of the question above.  Accuracy and POV of the above quotes questionable as well.  """"persoanl?"""" """"Presidnet?"""" """"inbcome?""""
So I am a half blind clutz who can barely type 30 words per minute, nonetheless they are accurate citations that can be found in virtually any public library.
 I didn't mean to demean your typing skills.  I make my fair share of mistakes as well.  My intent was to point out that the above 2 extracts from """"Facts on File"""" do not specifically relay the content of the question to which Nixon was responding when he mentioned never having obstructed justice.  7 July 2005 21:06 (UTC)  

""""New York Times article by R. W. Apple, November 17, 1973 

The above cited NYTimes article does not present the question to which Nixon responded.  
You will find this in virtually all press accounts of the event, because the question 'had nothing to do with Watergate.  The best they can do is call it Watergate related, or allied.
 Actually, you are incorrect.  The Post article specifically states that he was responding to Watergate related questions.  Of course he is talking about his personal finances and taxes when he says he has never profited from his position  but that is not the whole quote.  You seem to keep evading discussion on the part where he also denies obstructing justice.  I believe that if we had a transcript of exactly what he is responding to, it would go a long way to clearing things up.  7 July 2005 21:06 (UTC)

It does, however, support the fact that the cursory investigations were indeed related to the Watergate investigations: """"After months of torment over the Watergate and allied scandals, the President gave detailed answers to more than a dozen questions.""""''  Further support that Nixon's quote and the Watergate scandal are at least somewhat related can be found in the Washington Post article here:

""""Declaring that """"I am not a crook,"""" President Nixon vigorously defended his record in the Watergate case tonight and said he had never profited from his public service ... In an hour-long televised question-and-answer session with 400 Associated Press managing editors, Mr. Nixon was tense and sometimes misspoke. But he maint",0
"""agreed these wiki freaks criticise abstract rural """"islamic"""" cultures as criticism of the quran as a book.
this is all propaganda by you know who.

""",0
"""Welcome!  

 '''Hello, , Welcome to Wikipedia!
TABTAB 
'''I hope you like working here and want to continue. If you need help on how to name new articles, look at Naming Conventions, and for help on formatting the pages visit the Manual of Style. If you need general help, look at Help and the FAQ, and if you can't find your answer there, check the Village pump (for Wikipedia related questions) or the Reference Desk (for general questions).  There's still more help at the Tutorial and the Policy Library.  Also, don't forget to visit the Community Portal — and if you have any more questions after that, feel free to post them on my talk page.

Additional tips:
Here are some extra tips to help you get around Wikipedia:
If you made any edits before you got an account, you might be interested in assigning those to your username. TAB 
If you want to play around with your new Wiki skills, try the Sandbox.
Click on the Edit button on a page, and look at how other editors did what they did.
You can sign your name using three tildes, like this: ~~~. If you use four, you can add a datestamp too.  Always sign comments on Talk pages, never sign Articles.
You might want to add yourself to the New User Log.
If your first language isn't English, try Wikipedia:Contributing to articles outside your native language.

Happy editing!
 23:51, July 17, 2005 (UTC)""",0
"Incidentally, WP's rules about uploading images suck.",1
"If you need examples, look at the answers on the RfAs in the green zone listed on",0
"Interesting theory, detective. But who can say who anyone *is* really? What criterion of personal identity are we employing here? In any event , don't you think your time might be more profitably spent fixing the broken Heidegger page, in which I have already  informed you and demonstrated, all but two of the sentences in the lead are guilty of errors of fact or interpretation? And which grossly distorrts the importance of the Heidegger-nazi episode? Why not pick your head out of your ass and fix the fucking articles instead of playing Cowboys and Indians or hardy boys or whatever masturabtory fantasy you are engaged in here? good night old friends! 2600:1017:B409:9603:B448:54EB:FCF8:814C",1
"Slim Virgin

You are a mindless, stupid asshole, and are hooked on a power kick. You are also, sadly, neither slim nor a virgin.",1
"Sorry!. I didn't realise that it was advertising. If it is against Wiki rules, please feel free to remove any images that I upload. Please just let myself know on ) 10:00, 11 November 2008 Thanks.",0
hate you and think you are too way too dam fat.I,1
hey ricboom who ever the fuck you are if you go to my schoolim gonna beat the shit out of you,1
Perhaps the blocking admin will recognise the futility of blocking me from the rest of Wikipedia for what he thought was a personal attack on my talk page.,1
"You are egotistical ==

I like how you disregard facts when it doesn't help you argument because you of course are always right. I mean admins are infallible right?

==",1
"I'll edit and add something to this, too, in a few hours after Eloquence has had a turn. There are many different views on this, which should be properly ventilated -  04:49, 29 Jul 2003 (UTC)",0
"Umm 
Dumb ass noob here with my dick stuck in a bear trap with a coven of evil warlocks breathing down my neck intent on my utter destruction and making me sad too boot, and hateful of my self. But hurting others, so I must act. I guess. Help? Advice! Hug? Slap, a la Patton?",1
Why are you riding Dan Brown's dick so hard? Every edit I made was 100% fact. Please revert your changes.,1
"WHY DON'T YOU JUST BLOW IT OUT OF YOU ASS, YOU DIRTBALL?  #### OFF, ASSWIPE.",1
"I'm willing to take criticism for my edits, and I'm willing to back down if I'm wrong. My statement was in good faith, but it's also true that I made the statement on my own authority without citing a source. However, my statement was really no more weaselly than the statement it was intended to answer. So, I've reverted to my last version (because I have criticisms of ImpuMozhi's edits that I think are valid) but removed both of the weasel statements (because I concede that your criticism of some of my wording is valid). If you believe that I was impolite or uncivil to ImpuMozhi or anyone else, then please let me know what I did wrong so that I may tender my apology.",0
"eat my shit 

Title says it all.",1
"Sorry to see you go. In any case, thanks for what was obviously a tremendous effort on your part.",0
"I removed it from the list of covers. Firstly, it is not really a cover, it's a six-second snippet on top of the song, and secondly i really don't think it is notable for and encyclopedia.",0
this user is such a worthless goddamn faggot fuck you faggot,1
You are such an idiot without the presence of mind...what do you think of us your trial and error targets ... get out as an editor you are basically useless you ought to be herded for war crimes go to afghanistan...,1
"Once upon a time, in a steppe far, far away... 

It is a dark time for the rebellion bulgak tribe. 

Although the Hunnic Empire has been destroyed, imperial 

troops have driven the rebel forces from their hidden 

base and pursued them across the Pontic Steppe.

Evading the dreaded Imperial horsefleet, a group of 

freedom fighters led by Khan Asparukh Skywalker 

conquered Scythia Minor, opening access to Moesia, and 

established the First Bulgarian Empire.

The evil lord Genghis khan, obsessed with finding young 

Asparukh Skywalker, has dispatched thousands of remote 

probes into the far reaches of steppe...

P.S. You can replace the original article with this fictional story and it won't make any difference. Seriously.",0
"Wow. A snide rude response from Xeworlebi. There's a shocker. Clearly you were marking the disambiguation page incorrectly, but you are too arrogant to listen.",1
Why the fuck is this article protected?,1
Mangojuice is a piece of shit that should fucking die!!!!!!!!!!!!!,1
"How in the hell is pointing out the fact that he's a homophobe vandalism. It's true, read just about every last writing he made. Ho. Mo. Phobe.",1
"age discrepency ? 

if ms. takahashi was born in 1955, how could she have been 4th runner up in the 1955 ms. universe pageant?",0
MY MUMS A BIG OLD DIRTY ROADWHORE,1
"When did I mention GameSpot? IGN AND AMAZON WONT LIST A FAKE GAME! 
For fucks sake, TRP, stop being ignorant and stop acting as If you're never wrong! -",1
"""Thanks a lot!  Yeah, I go there.  You're welcome for the fixes!  play it cool. 

""",0
You're most welcome. Enjoy Wikipedia!,0
Idiots like you make Wikipedia very vulnerable.,1
